Drug,Targets,N_trials,N_biomarker_trials,N_PDneuro_trials
Adalimumab,TNF,469,63,0
Amisulpride,DRD2,58,6,3
Amphetamine,SLC6A3,147,19,4
Apomorphine,DRD2,37,0,28
Aripiprazole,DRD2,357,21,11
Armodafinil,SLC6A3,54,3,3
Asenapine,DRD2,50,5,0
Ataluren,RPL14; RPL23A; RPL6; RPS8,29,11,0
Benperidol,DRD2,2,0,1
Blonanserin,DRD2,2,0,1
Brexpiprazole,DRD2,74,10,7
Bromocriptine,DRD2,36,4,6
Bromperidol,DRD2,2,0,1
Bupropion,SLC6A3,345,34,8
Cabergoline,DRD2,67,4,3
Carbidopa,DDC,158,35,94
Cariprazine,DRD2,45,4,1
Certolizumab,TNF,100,17,0
Chlorpromazine,DRD2,22,2,0
Chlorprothixene,DRD2,2,0,1
Clozapine,DRD2,76,4,3
Deutetrabenazine,SLC18A2,5,0,0
Dexmethylphenidate,SLC6A3,16,3,0
Dextroamphetamine,SLC18A2; SLC6A3,27,2,2
Diethylpropion,SLC6A3,2,0,0
Domperidone,DRD2,57,3,5
Droperidol,DRD2,22,0,0
Ergoloid,DRD1; DRD2,2,0,1
Etanercept,TNF,354,40,5
Fenoldopam,DRD1,13,1,0
Fluphenazine,DRD2,10,0,1
Fluspirilene,DRD2,2,0,1
Fomepizole,ADH1C,3,1,0
Golimumab,TNF,103,12,0
Haloperidol,DRD2,140,2,10
Iloperidone,DRD2,26,5,1
Infliximab,TNF,359,40,0
Insulin,INSR,2451,176,27
Isocarboxazid,MAOA; MAOB,1,0,1
Levomepromazine,DRD2,2,0,1
Lisdexamfetamine,SLC18A2; SLC6A3,83,7,5
Loxapine,DRD2,24,2,0
Lumateperone,DRD2,23,4,0
Lurasidone,DRD2,72,4,0
Masoprocol,IGF1R,1,0,0
Mazindol,SLC6A3,4,0,0
Mecasermin,IGF1R,9,3,0
Methamphetamine,SLC6A3,56,8,1
Methylergonovine,DRD1,4,0,0
Methylphenidate,SLC6A3,389,25,29
Metoclopramide,DRD2,137,4,1
Metyrosine,TH,2,0,0
Moclobemide,MAOA,4,0,1
Modafinil,SLC6A3,203,10,24
Molindone,DRD2,2,0,0
Olanzapine,DRD2,409,26,7
Paliperidone,DRD2,170,30,2
Pergolide,DRD1; DRD2,8,0,2
Perphenazine,DRD2,20,0,2
Phendimetrazine,SLC6A3,1,0,0
Phenelzine,MAOA; MAOB,8,3,0
Pimozide,DRD1; DRD2,11,1,1
Pramipexole,DRD2,125,9,41
Prochlorperazine,DRD2,27,2,0
Promazine,DRD2,24,2,1
Quetiapine,DRD2,336,11,13
Quinagolide,DRD2,3,2,0
Rasagiline,MAOB,51,7,42
Reserpine,SLC18A2,7,0,0
Risperidone,DRD2,437,27,17
Rivastigmine,BCHE,80,7,53
Ropinirole,DRD2,57,8,21
Rotigotine,DRD2,74,8,42
Safinamide,MAOB,25,3,19
Selegiline,MAOB,29,3,6
Serdexmethylphenidate,SLC6A3,4,0,0
Sertindole,DRD2,14,0,2
Sibutramine,SLC6A3,33,3,0
Siltuximab,IL6,33,9,0
Sulpiride,DRD2,14,1,2
Tacrine,BCHE,1,1,0
Teprotumumab,IGF1R,15,3,0
Tetrabenazine,SLC18A2,16,0,1
Thiethylperazine,DRD2,1,0,0
Thioridazine,DRD2,4,1,1
Thiothixene,DRD2,1,0,0
Tranylcypromine,MAOA; MAOB,14,1,1
Trifluoperazine,DRD2,3,0,0
Trimipramine,DRD2,3,0,1
Valbenazine,SLC18A2,20,0,0
Ziprasidone,DRD2,122,2,3
