Targets,Drug,NCT_ID,URL,Phase,Status,Start_date,Enrollment,Conditions,N_primary,N_secondary,Primary_outcome_measures,Secondary_outcome_measures,Biomarker_measures
ADH1C,Fomepizole,NCT02415712,https://clinicaltrials.gov/study/NCT02415712,,Completed,2015-01-27,147,"Ethylene Glycol Poisoning, Methanol Poisoning",5,0,Arterial Blood pH ~ Number of Participants Reporting One or More Adverse Events (AEs) ~ Number of Participants Reporting One or More Serious Adverse Events (SAEs) ~ Number of Participants Who Had One or More Adverse Drug,,No
ADH1C,Fomepizole,NCT03878693,https://clinicaltrials.gov/study/NCT03878693,Early Phase 1,Completed,2018-07-01,6,Healthy Adult Volunteers,1,0,Oxidative metabolism of APAP,,No
ADH1C,Fomepizole,NCT05517668,https://clinicaltrials.gov/study/NCT05517668,Phase 2,Terminated,2022-09-12,29,Acetaminophen; Acetaminophen Overdose; Acetaminophen Poisoning; Drug Overdose; Drug-induced Liver Injury; Live,1,7,Difference in serum alanine transaminase (ALT) from presentation to peak recorded ALT,Measurement of protein adducts ~ Peak INR ~ Peak aspartate aminotransferase (AST) ~ Peak creatinine ~ Proportion of patients developing acute liver failure (ALF). ~ Serial measurement of fomepizole serum concentration ~ ,Yes
BCHE,Rivastigmine,NCT00000174,https://clinicaltrials.gov/study/NCT00000174,Phase 3,Completed,,,Alzheimer Disease; Cognition Disorders,0,0,,,
BCHE,Rivastigmine,NCT00099216,https://clinicaltrials.gov/study/NCT00099216,Phase 3,Completed,2001-08-01,708,Vascular Dementia,2,3,Change in cognition from baseline at week 24 ~ Global clinical impression of change from baseline at week 24,Change in activities of daily living from baseline at week 24 ~ Change in behavioral symptoms from baseline at week 24 ~ Change in clinical staging from baseline at week 24,No
BCHE,Rivastigmine,NCT00099242,https://clinicaltrials.gov/study/NCT00099242,Phase 3,Completed,2003-11-01,1040,"Alzheimer's Disease; Dementia, Alzheimer Type",2,5,Change in cognition from baseline at week 24 ~ Global clinical impression of change from baseline at week 24,Change from baseline at week 24 in activities of daily living ~ Change from baseline at week 24 in attention ~ Change from baseline at week 24 in behavioral symptoms ~ Change from baseline at week 24 in executive functio,No
BCHE,Rivastigmine,NCT00102284,https://clinicaltrials.gov/study/NCT00102284,Phase 4,Terminated,2004-03-01,100,Healthy,1,1,Boost in language learning success through neuromodulation,Stability of language learning success,No
BCHE,Rivastigmine,NCT00102856,https://clinicaltrials.gov/study/NCT00102856,Phase 4,Suspended,2005-01-01,60,Healthy,1,1,Boost in language learning success (percent hits) through neuromodulation,"Stability of language learning success after one week, one month, and one year",No
BCHE,Rivastigmine,NCT00104442,https://clinicaltrials.gov/study/NCT00104442,Phase 4,Completed,2003-10-01,80,Alzheimer's Disease,1,3,Changes in specific brain enzyme activity from baseline to week 13,Changes in levels of protein biomarkers in Alzheimer's disease and neurodegeneration from baseline to week 13 ~ Correlate changes in specific brain enzyme activity after 13 weeks treatment to changes in global functionin,Yes
BCHE,Rivastigmine,NCT00130338,https://clinicaltrials.gov/study/NCT00130338,Phase 3,Completed,2002-02-01,521,Vascular Dementia,1,1,Safety and tolerability of rivastigmine for up to 52 weeks of treatment in patients with VaD and probable VaD,"52 week's treatment with rivastigmine on cognition, activities of daily living, behavior and clinical staging in patients with VaD and probable VaD",No
