Target,Toxins,N_drugs,N_trials,N_biomarker_measures,PK,imaging,fluid_molecular,inflammation,genomic,other_biomarker,N_PDneuro_trials,Distinct_drugs,Distinct_biomarker_measures
ACHE,chlorpyrifos; dieldrin,7,77,246,208,5,18,10,1,4,35,Donepezil; Galantamine; Neostigmine; Physostigmine; Pyridostigmine; Rivastigmine; Tacrine,"4. Pharmacokinetic parameters (Cmax, Tmax, AUCT, AUCI ) determined from plasma rivastigmine concentrations,Blood cholinesterase inhibition | AUC | AUC From Dosing to 24 Hours Postdose (AUC0-24) of MK-1942 | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours Post-dose for Donepezil | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours for TAK-071 MRD Japanese Participants [Day 1] | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours for TAK-071 MRD Japanese Participants [Day 28] | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours for TAK-071 MRD Japanese Participants [Day 8] | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours for TAK-071 MRD Non-Japanese Participants [Day 1] | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours for TAK-071 MRD Non-Japanese Participants [Day 21] | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours for TAK-071 MRD Non-Japanese Participants [Day 28] | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours for TAK-071 MRD Non-Japanese Participants [Day 8] | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours for TAK-071 Multiple-Rising Dose (MRD) Non-Japanese Participants [Day 1] | AUC(0-24): Area Under the Plasma Concentration-Time Curve From Time 0 to 24 Hours for TAK-071 SRD N ... (+216 distinct total)"
AKT1,mptp; rotenone,1,22,76,71,0,0,0,4,1,0,Capivasertib,"50% ctDNA clearance | AUC0-inf | AUC0-t | AUCinf of Capivasertib | AUCinf of major metabolite (AZ14102143) of capivasertib | AUClast of Capivasertib | AUClast of capivasertib | Area under concentration curve from time 0 to the last quantifiable concentration (AUClast) of capivasertib | Area under concentration curve from time 0 to the last quantifiable concentration (AUClast) of dextromethorphan | Area under concentration curve from time 0 to the last quantifiable concentration (AUClast) of metabolite (dextrorphan) | Area under concentration time curve from time 0 to infinity (AUCinf) of dextromethorphan | Area under concentration time curve from time 0 to infinity (AUCinf) of metabolite (dextrorphan) | Area under concentration-curve from time 0 to the last quantifiable concentration (AUClast) of rosuvastatin | Area under concentration-time curve from time 0 to infinity (AUCinf) of rosuvastatin | Area under curve (AUC) for capivasertib to characterize pharmacokinetics (PK) for each treatment combination | Area under plasma concentration-time curve from zero to infinity (AUCinf) of capivasertib | Area under the plasma concentration-time curve (AUC) for AZD9833 alone or in combination with Palbociclib, Everolimus, Abemaciclib, Capivasertib, Ribociclib or Anastrozole | Area under the plasma concentration-time curve from time zero to 12 hours post-dose (AUC 0-12) of Capivasertib | Area under the plasma concentration-time curve from time zero to time of last quantifiable concentra ... (+76 distinct total)"
BCHE,chlorpyrifos,2,12,22,18,1,2,0,0,1,6,Rivastigmine; Tacrine,"4. Pharmacokinetic parameters (Cmax, Tmax, AUCT, AUCI ) determined from plasma rivastigmine concentrations,Blood cholinesterase inhibition | AUC96-264 | Area Under the Plasma Concentration-Time Curve of RO4602522 | Bioequivalence based on Cmax and AUC parameters | Cerebrospinal fluid(CSF) levels of AD markers (P-tau181, 217) | Changes in cocaine pharmacokinetics | Changes in levels of protein biomarkers in Alzheimer's disease and neurodegeneration from baseline to week 13 | Cmax,96-264 | Concentration Changes from Baseline of Plasma Biomarkers (Aβ42/40, p - tau181, p - tau217, NfL and GFAP） | Donepezil PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]) | Donepezil PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax) | Donepezil PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax) | EVP-6124 PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]) | EVP-6124 PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax) | EVP-6124 PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax) | Maximum Plasma Concentration of RO4602522 | Rivastigmine PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]) | Rivastigmine PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax) | Rivastigmine PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax) | Total Area Under ... (+21 distinct total)"
BCL2,mptp,1,163,543,472,8,1,5,35,22,0,Venetoclax,AUC - Area under the plasma concentration-time curve | AUC From Time 0 to the Time Infinity (AUCinf) of Venetoclax | AUC [0-24] for venetoclax | AUC from 0 to Infinity (AUC∞) of Carfilzomib | AUC from Time 0 to Infinity (AUCinf) of Venetoclax | AUC from Time 0 to the Time of the Last Measurable Concentration (AUCt) of Carfilzomib | AUC of AMG 176 | AUC of CCS1477 | AUC of Venetoclax | AUC of Venetoclax + Navitoclax | AUC over the dose interval (AUC0-τ) of ABBV-838 | AUC(0-T) | AUC(TAU) | AUC0-24 Post-Dose of Venetoclax | AUC0-24 Post-dose of Venetoclax | AUC0-24 of Venetoclax | AUC0-last | AUC0-last of quizartinib | AUC0-last of venetoclax | AUC0-∞ of Alvocidib | AUC0-∞ of Dinaciclib | AUC[0 to infinity] for azacitidine | AUC[0-24] for venetoclax | AUCinf of EE/Levonorgestrel | AUClast of Venetoclax | AUCt Post-dose of Alvocidib | AUCt Post-dose of Dinaciclib | AUCt for Azacitidine | AUCt for azacitidine | AUCt for venetoclax | AUCt of EE/Levonorgestrel | AUCt of Venetoclax | AUCtau | AUCtau of quizartinib | AUCtau of venetoclax | AUCτ: Area Under the Plasma Concentration-time Curve from Time 0 to Time Over the Dosing Interval for TAK-659 and Venetoclax | All Phases: Plasma Concentration of Venetoclax | Analysis of venetoclax plasma concentration with concomitant CYP enzyme inhibitors or inducers | Area Under the Concentration-Time Curve (AUC) of Venetoclax | Area Under the Curve (AUC) of RO6870810 and its Potential Metabolites- Part 1 and Part 2 | Area Under the Plasma Conce ... (+498 distinct total)
CD2,lead; mercury,1,3,5,5,0,0,0,0,0,0,Alefacept,2-Hour C-peptide Area Under the Curve (AUC) Result in Response to Standardized Mixed Meal Tolerance Test (MMTT) | 4-Hour C-peptide Area Under the Curve (AUC) Result in Response to Standardized Mixed Meal Tolerance Test (MMTT) | Assessment of Pharmacokinetics through analysis of blood samples (only approximately first 24 subjects enrolled) | Serum alefacept pharmacokinetic parameters
CD4,trichloroethylene,1,2,4,4,0,0,0,0,0,0,Ibalizumab,Pharmacodynamics: CD4 Receptor Occupancy | Pharmacokinetics Bridge Demonstrated for Intramuscular Injection of Trogarzo and IV Infusion | Pharmacokinetics Bridge for IV Push and IV Infusion (AUC) | Pharmacokinetics Bridge for IV Push and IV Infusion (Ctrough)
ESR1,dieldrin,12,435,1998,1714,43,4,44,125,68,1,Bazedoxifene; Clomiphene; Elacestrant; Estetrol; Estradiol; Estriol; Estrogens; Ethinyl Estradiol; Fulvestrant; Lasofoxifene; Raloxifene; Tamoxifen,"(AUC0-24h,EE,SS), area under the ethinylestradiol plasma concentration-time curve during a dosing interval at steady state | (AUC0-24h,LN,SS), area under the levonorgestrel plasma concentration-time curve during a dosing interval at steady state | (Cmax,EE,SS), maximum concentration of ethinylestradiol at steady state | (Cmax,LN,SS), maximum concentration of levonorgestrel at steady state | (Part A) AUCinf of Midazolam in Periods 2, 5, and 8 | (Part A) Area Under the Concentration-time Curve From Time 0 to Infinity (AUCinf) of Atorvastatin in Periods 1, 4, and 7 | (Part B) AUCinf of Ethinyl Estradiol in Periods 1, 3 and 5 | (Part B) AUCinf of Levonorgestrel in Periods 1, 3 and 5 | (Parts 1 and 2): PK: Average Plasma Concentrations of LY4064809 | 18F-FDG PET/CT response rate (18F-FDG: 18F-fluorodeoxyglucose) | 4 hour serum concentration (C4h) of estradiol | 4-hydroxy-tamoxifen (Metabolite) Area Under the Plasma Concentration-time Profile From Time 0 Extrapolated to Infinite Time (AUCinf) Following Tamoxifen Alone and When Coadministered With DVS SR | 4-hydroxy-tamoxifen (Metabolite) Maximum Observed Concentration (Cmax) Following Tamoxifen Alone and When Coadministered With DVS SR | 4-hydroxy-tamoxifen (Metabolite) Time for Cmax (Tmax) Following Tamoxifen Alone and When Coadministered With DVS SR | A comparison of exposure and pharmacokinetics for norelgestromin, (NGMN), norgestrel (NG), and ethinyl estradiol (EE) for EVRA®, CILEST® and historical data from one ORTHO EVRA® cli ... (+1527 distinct total)"
IL6,paraquat,1,11,19,9,0,0,9,0,1,0,Siltuximab,"Changes from baseline in plasma biomarkers (PCR, lymphocytes, ferritin, d-dimer and LDH) at days 1, 3, 5, 7 and 9. | Changes in inflammatory stress: C-reactive protein (CRP) | Cytokine levels: FLT3L and IL-6 | Dexamethasone pharmacokinetic evaluations (Cmin, AUC[t1-t2]) from approx. 30 patients from each treatment arm to provide information on the pharmacokinetic profile of dexamethasone | Frequency and nature of adverse events associated with siltuximab treatment of cytokine release syndrome (CRS) and/or immune effector cell associated neurotoxicity syndrome (ICANS) | Incidence of all-grade cytokine release syndrome | Incidence of grade ≥ 2 cytokine release syndrome | Incidence of grade ≥ 2 cytokine release syndrome after siltuximab prophylaxis | Incidence of hospitalizations secondary to cytokine release syndrome or neurologic complications | Participants with a complete response for cytokine release syndrome (CRS) | Percent Change From Baseline in C-Reactive Protein (CRP) Level | Pharmacokinetic and Pharmacodynamic evaluations | Pharmacokinetics (AUC) | Pharmacokinetics (CL) | Pharmacokinetics (Cmin / Cmax) | Pharmacokinetics (Ctrough) | Pharmacokinetics (Tmax) | Pharmacokinetics (Vd) | Siltuximab pharmacokinetic evaluations (Cmin, Cmax) to provide information on the pharmacokinetic profile of siltuximab"
KDR,dieldrin,13,786,2240,1612,25,1,37,339,226,0,Axitinib; Cabozantinib; Fruquintinib; Lenvatinib; Midostaurin; Nintedanib; Pazopanib; Ramucirumab; Regorafenib; Sorafenib; Sunitinib; Tivozanib; Vandetanib,"(BRAF) Mutation Status vs Survival | 1) Metabolic activity (glucose-uptake) in vivo, standardised uptake value (SUV) in FDG-PET/CT. 2) Quantification of soluble S100 serum and LDH. 3) Gene expression profile of cutaneous melanoma metastasis | 12-Week Progression-Free Survival by PIK3CA Mutation Status | 12-Week Progression-Free Survival by RAS Mutation Status | 1st line Response Rate (RR) with Sunitinib in patients with VEGF pathway mutation | 3.2.4 To evaluate biologic markers such as VEGF, eNOS and HIF1-alpha, VEGF-R2 genetic polymorphisms as well as serum VEGF and soluble VEGFR2 levels and correlate with efficacy outcomes. | A DNA microarray will be used for gene expression profiling of the tissue harvested at biopsy and surgery to investigate differential expression profiles and their association with Sutent sensitivity or resistance | A DNA microarray will be used for gene expression profiling of the tissue harvested at biopsy and surgery. | A biomarker (in blood or tissue) that may be predictive of level of response to regorafenib | A panel of possible predictive candidate biomarkers of resistance to anti-angiogenic targeted tyrosine kinase inhibitor (TKI) | AUC | AUC (0-inf) of Nintedanib | AUC (0-inf) of fruquintinib | AUC (0-t) of fruquintinib | AUC (0-tz) of Nintedanib | AUC (Area Under the Plasma Concentration vs. Time Curve From Zero to Infinity After Single (First) Dose) for Regorafenib and Its Pharmacologically Active Metabolites M-2 and M-5 | AUC (area under th ... (+2050 distinct total)"
MAOA,mptp,2,5,28,26,0,0,0,2,0,0,Phenelzine; Tranylcypromine,Abraxane AUC | Abraxane Cmax | CC1084037 Pharmacokinetics: AUC0-24 | CC1084037 Pharmacokinetics: Cmax | CC1084037 Pharmacokinetics: Cmin | CC1084037 Pharmacokinetics: Ctrough | CC1084037 Pharmacokinetics: Tmax | CC112273 Pharmacokinetics: AUC0-24 | CC112273 Pharmacokinetics: Cmax | CC112273 Pharmacokinetics: Cmin | CC112273 Pharmacokinetics: Ctrough | CC112273 Pharmacokinetics: Tmax | HIF-1alpha Expression in CTC (Circulating Tumor Cells) as a Potential Measure of MAO Activity | MAOA Expression in CTC (Circulating Tumor Cells) and Comparison to Biopsy MAOA Expression | Nardil AUC | Nardil Cmax | Ozanimod Pharmacokinetics: AUC0-24 | Ozanimod Pharmacokinetics: Cmax | Ozanimod Pharmacokinetics: Cmin | Ozanimod Pharmacokinetics: Ctrough | Ozanimod Pharmacokinetics: Tmax | Pharmacokinetics (PK) effects of TCP in plasma when combined with ATRA | Pharmacokinetics - AUC0-24 | Pharmacokinetics - Cmax | Pharmacokinetics - Cmin | Pharmacokinetics - Ctrough | Pharmacokinetics - Tmax | Pharmacokinetics for tyramine: Cave
