Toxins,Targets,Drug,Approval_yr,Action,NCT_ID,URL,Phase,Status,Start_date,Enrollment,Conditions,N_primary,N_secondary,Primary_outcome_measures,Secondary_outcome_measures,Biomarker_measures
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00048542,https://clinicaltrials.gov/study/NCT00048542,Phase 3,Completed,2002-09-01,171,"Arthritis, Juvenile Idiopathic",1,17,Number of Subjects in the Non-MTX Stratum With Disease Flare During the Double-Blind Phase,Mean Change From Baseline in C-Reactive Protein Levels at Week 48 of the Double-Blind Phase ~ Mean Change From Baseline in Parent's/Patient's Global Assessment of Disease Activity at Week 48 of the Double-Blind Phase ~ M,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00049751,https://clinicaltrials.gov/study/NCT00049751,Phase 3,Completed,2002-09-01,3000,Rheumatoid Arthritis,1,0,Change in disease activity score at visit week 12 as compared to baseline,,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00055497,https://clinicaltrials.gov/study/NCT00055497,Phase 3,Completed,2002-08-01,276,Crohn's Disease,2,9,Number of Randomized Participants Achieving Clinical Remission at Week 56 - Last Observation Carried Forward (LOCF) ~ Number of Randomized Participants Achieving Clinical Remission at Week 56 - Non-Responder Imputation (,Change in Inflammatory Bowel Disease Questionnaire (IBDQ) Scores - LOCF ~ Number of OL Participants Achieving Clinical Remission at Week 56 - LOCF ~ Number of OL Participants Achieving Clinical Remission at Week 56 - NRI,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00055523,https://clinicaltrials.gov/study/NCT00055523,Phase 2,Completed,2002-04-01,300,Crohn's Disease,2,0,(achievement of a CDAI <150) of adalimumab 40 mg and 80 mg vs. placebo at Week 4. ~ comparison of the induction of clinical remission,,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00077779,https://clinicaltrials.gov/study/NCT00077779,Phase 3,Completed,2003-07-01,854,Crohn's Disease,1,0,Clinical remission (CDAI<150).,,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00085644,https://clinicaltrials.gov/study/NCT00085644,Phase 3,Completed,2004-01-01,315,Ankylosing Spondylitis,2,35,Mean Change in the Modified Stoke Ankylosing Spondylitis Spine Score (mSASSS) Compared Against a Historical Control Group (Outcomes in Ankylosing Spondylitis International Study [OASIS]) Using the ANCOVA Model Adjusting ,Mean Change From Baseline in the Tender Joint Count for 46 Joints (TJC 46) in Subjects With Adalimumab Exposure Through Week 260 ~ Mean Change in BASDAI in Subjects With Adalimumab Exposure Through Week 260 ~ Mean Change,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00105300,https://clinicaltrials.gov/study/NCT00105300,Phase 3,Completed,2004-10-01,300,Crohn's Disease,1,4,Induction of clinical remission (CDAI score < 150 at Week 4),Changes in IBDQ scores at Week 4 ~ Clinical response measured as ~ Decrease in Baseline CDAI score >= 100 points at Week 4 ~ Decrease in Baseline CDAI score >= 70 points at Week 4,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00133315,https://clinicaltrials.gov/study/NCT00133315,Phase 4,Completed,2004-09-01,50,Ankylosing Spondylitis; Psoriatic Arthritis; Spondylarthropathies,0,0,,,
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00185562,https://clinicaltrials.gov/study/NCT00185562,Phase 2,Completed,2005-06-01,12,Osteoarthritis,1,1,Safety,20% ACR response,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00193648,https://clinicaltrials.gov/study/NCT00193648,Phase 1,Completed,2005-07-01,21,Focal Glomerulosclerosis,1,1,Safety and tolerance of medications,Reduction in proteinuria,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00195650,https://clinicaltrials.gov/study/NCT00195650,Phase 3,Completed,2000-07-01,846,Rheumatoid Arthritis,10,1,Change From Baseline in the Disability Index of the Health Assessment Questionnaire (HAQ) at Week 260 ~ Change From Baseline in the Disability Index of the Health Assessment Questionnaire (HAQ) at Week 520 ~ Number of Pa,Reported Adverse Events,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00195663,https://clinicaltrials.gov/study/NCT00195663,Phase 3,Completed,2000-12-01,799,Early Rheumatoid Arthritis,2,32,Change From Baseline in Modified Total Sharp Score (mTSS) at Week 52 ~ Number of Participants Meeting American College of Rheumatology 50% (ACR50) Response Criteria at Week 52,Change From Baseline in DAS28 Over 10 Years by Adalimumab Exposure ~ Change From Baseline in Disease Activity Score (DAS28) During the Double-blind Treatment Phase ~ Change From Baseline in Health Utilities Index Mark 2 ,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00195676,https://clinicaltrials.gov/study/NCT00195676,Phase 3,Completed,2004-05-01,1469,Psoriasis,1,0,Percentage of Participants With a Physician's Global Assessment of Clear or Minimal at Week 16 of Period R,,No
mptp; paraquat; rotenone; trichloroethylene,TNF,Adalimumab,2002,INHIBITOR,NCT00195689,https://clinicaltrials.gov/study/NCT00195689,Phase 3,Completed,2003-08-01,400,Psoriatic Arthritis,7,2,ACR 20/50/70 ~ Disease progression measurements ~ FACTIT Fatigue Scale ~ HAQ ~ PsARC ~ SF-36 ~ Safety parameters,Clinical response indicators ~ Patient reported outcomes,No
