Target,N_drugs,N_trials,N_biomarker_measures,PK,imaging,fluid_molecular,inflammation,genomic,other_biomarker,N_PDneuro_trials,Distinct_drugs,Distinct_biomarker_measures
ADH1C,1,1,1,1,0,0,0,0,0,0,Fomepizole,Serial measurement of fomepizole serum concentration
BCHE,2,12,22,18,1,2,0,0,1,6,Rivastigmine; Tacrine,"4. Pharmacokinetic parameters (Cmax, Tmax, AUCT, AUCI ) determined from plasma rivastigmine concentrations,Blood cholinesterase inhibition | AUC96-264 | Area Under the Plasma Concentration-Time Curve of RO4602522 | Bioequivalence based on Cmax and AUC parameters | Cerebrospinal fluid(CSF) levels of AD markers (P-tau181, 217) | Changes in cocaine pharmacokinetics | Changes in levels of protein biomarkers in Alzheimer's disease and neurodegeneration from baseline to week 13 | Cmax,96-264 | Concentration Changes from Baseline of Plasma Biomarkers (Aβ42/40, p - tau181, p - tau217, NfL and GFAP） | Donepezil PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]) | Donepezil PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax) | Donepezil PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax) | EVP-6124 PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]) | EVP-6124 PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax) | EVP-6124 PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax) | Maximum Plasma Concentration of RO4602522 | Rivastigmine PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]) | Rivastigmine PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax) | Rivastigmine PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax) | Total Area Under ... (+21 distinct total)"
DDC,1,45,110,103,2,0,1,0,4,32,Carbidopa,"3-OMD Area under the plasma concentration versus time curve (AUC) | 3-OMD Peak Plasma Concentration (Cmax) | AUC | AUC of Levodopa Plasma Concentrations Above Baseline | AUC0-12/Dose0-12, AUC0-16/Dose0-16 After Administration of Oral L/C Tablets and Intra-jejunal Administration of ABT-SLV187 | AUC0-2h for Carbidopa | AUC0-2hr for L-dopa | AUC0-5 - AUC Over 5 Hours | AUC0-6 - Area Under the Plasma Concentration-time Curve (AUC) From Time Zero to to 6 h Postdose (AUC [0-6]) | AUC0-6 - Area Under the Plasma Concentration-time Curve From Time 0 to 6 Hours Post-dose (Day 3) | AUC0-inf | AUC0-t | AUC0-t - Area Under the Plasma Concentration Versus Time Curve From Time Zero to the Time (t) Corresponding to the Last Quantifiable Concentration. | AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification. | AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification. (Levodopa/Benserazide) | AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification. (Levodopa/Carbidopa) | AUC0-t - Area Under the Plasma Concentration-time Curve to Last Measurable Time Point | AUC0-∞ | AUC0-∞ - Ar ... (+99 distinct total)"
DRD1,2,2,3,2,0,0,0,0,1,0,Fenoldopam; Pimozide,Part 1: Plasma concentration of pimozide and clarithromycin associated with ΔΔQTc prolongation of 10 ms based on concentration-QTc analysis. | Part 1: The margin (ratio) between hERG IC50 and free plasma concentration causing 10 ms QTc prolongation. | Reduction of urinary and/or serum levels of biomarker NGAL in treated group versus controls
DRD2,32,297,965,874,17,7,21,11,35,23,Amisulpride; Apomorphine; Aripiprazole; Asenapine; Brexpiprazole; Bromocriptine; Cabergoline; Cariprazine; Chlorpromazine; Chlorprothixene; Clozapine; Domperidone; Haloperidol; Iloperidone; Loxapine; Lumateperone; Lurasidone; Metoclopramide; Olanzapine; Paliperidone; Pimozide; Pramipexole; Prochlorperazine; Promazine; Quetiapine; Quinagolide; Risperidone; Ropinirole; Rotigotine; Sulpiride; Thioridazine; Ziprasidone,"(1) Bioavailability of test products compared to reference product based on pharmacokinetic parameter of AUC from time 0 to time t | (2) Bioavailability of test products compared to reference product based on pharmacokinetic parameter of Cmax | (3) Bioavailability of test products compared to reference product based on pharmacokinetic parameter of AUC from time 0 to infinity | 2. Area under the curve (AUC) for UPDRS Motor Scores at 0, 20, 40 and 90 minutes; | 9-hydroxyrisperidone PK: Accumulation Index Between Injections 1 and 3 In Terms of Area Under the Plasma Concentration Curve (Rac(AUC)) | 9-hydroxyrisperidone PK: Accumulation Index Between Injections 1 and 3 In Terms of Maximum Plasma Concentrations (Rac(Cmax)) | 9-hydroxyrisperidone PK: Area Under the Plasma Concentration-Time Curve From Day 2-29 Post Injection (AUC Day 2-29) | 9-hydroxyrisperidone PK: Area Under the Plasma Concentration-Time Curve From Time Zero to 24 Hours (AUC0-24) | 9-hydroxyrisperidone PK: Area Under the Plasma Concentration-Time Curve From Time Zero to Time Tau (Where Tau=28 Days) (AUCtau) | 9-hydroxyrisperidone PK: Average Plasma Concentration (Cavg) Over the PK Profile | 9-hydroxyrisperidone PK: Average Plasma Concentration Over the Secondary Peak (Cavg, Day 2-29) | 9-hydroxyrisperidone PK: Maximum Plasma Concentration (Cmax) During Initial Peak | 9-hydroxyrisperidone PK: Maximum Plasma Concentration (Cmax) Over the PK Profile | 9-hydroxyrisperidone PK: Maximum Plasma Concentration Over the Sec ... (+841 distinct total)"
IGF1R,2,6,21,21,0,0,0,0,0,0,Mecasermin; Teprotumumab,"AUC From Time 0 to the Last Quantifiable Concentration (AUClast) of Teprotumumab | Area Under the Serum Concentration-time Curve (AUC) From Time 0 Extrapolated to Infinity (AUCinf) of Teprotumumab | Area Under the Serum Concentration-time Curve From Time Zero to Infinity (AUCinf) of Teprotumumab | Area Under the Serum Concentration-time Curve From Time Zero to the Last Quantifiable Concentration (AUClast) of Teprotumumab | Changes From Baseline (Day 1) in Serum Concentrations of Acid-Labile Subunit (ALS) | Changes From Baseline (Day 1) in Serum Concentrations of Growth Hormone (GH) | Changes From Baseline (Day 1) in Serum Concentrations of Growth Hormone Binding Protein (GHBP) | Changes From Baseline (Day 1) in Serum Concentrations of Insulin-Like Growth Factor Binding Protein-1 (IGFBP-1) | Changes From Baseline (Day 1) in Serum Concentrations of Insulin-Like Growth Factor Binding Protein-3 (IGFPB-3) | Changes From Baseline (Day 1) in Serum Concentrations of Insulin-Like Growth Factor-1 (IGF-1) | Maximum Observed Serum Concentration (Cmax) of Teprotumumab | PK: Maximum Serum Concentration (Cmax) of Teprotumumab | Percent Change in Serum Concentration of ALS From Pretreatment to Week 86 | Percent Change in Serum Concentration of IGFBP-1, IGFBP-2 and IGFBP-3 From Pretreatment to Week 86 | Percent Changes From Baseline in Serum Concentrations of IGF-1 at One Year | Percent Changes From Baseline in Serum Concentrations of IGF-2 at One Year | Percent Changes From Baseline in Serum ... (+20 distinct total)"
IL6,1,11,19,9,0,0,9,0,1,0,Siltuximab,"Changes from baseline in plasma biomarkers (PCR, lymphocytes, ferritin, d-dimer and LDH) at days 1, 3, 5, 7 and 9. | Changes in inflammatory stress: C-reactive protein (CRP) | Cytokine levels: FLT3L and IL-6 | Dexamethasone pharmacokinetic evaluations (Cmin, AUC[t1-t2]) from approx. 30 patients from each treatment arm to provide information on the pharmacokinetic profile of dexamethasone | Frequency and nature of adverse events associated with siltuximab treatment of cytokine release syndrome (CRS) and/or immune effector cell associated neurotoxicity syndrome (ICANS) | Incidence of all-grade cytokine release syndrome | Incidence of grade ≥ 2 cytokine release syndrome | Incidence of grade ≥ 2 cytokine release syndrome after siltuximab prophylaxis | Incidence of hospitalizations secondary to cytokine release syndrome or neurologic complications | Participants with a complete response for cytokine release syndrome (CRS) | Percent Change From Baseline in C-Reactive Protein (CRP) Level | Pharmacokinetic and Pharmacodynamic evaluations | Pharmacokinetics (AUC) | Pharmacokinetics (CL) | Pharmacokinetics (Cmin / Cmax) | Pharmacokinetics (Ctrough) | Pharmacokinetics (Tmax) | Pharmacokinetics (Vd) | Siltuximab pharmacokinetic evaluations (Cmin, Cmax) to provide information on the pharmacokinetic profile of siltuximab"
INSR,1,372,1046,914,4,34,37,25,32,10,Insulin,"(AUCGIR 0-360): Area Under the Curve of the Glucose Infusion Rate From Time 0 to 360 minutes post dose Pharmacodynamic Parameter. | (Cohort 1) Assessment of PK parameter: Area under the insulin concentration time curve (INS-AUClast) | (Cohort 1) Assessment of PK parameter: Maximum insulin concentration (INS-Cmax) | (Cohort 2) Area under the insulin concentration time curve from 4 to 12 hours post administration (INS-AUC4-12H) | (Cohort 2) Assessment of PK parameter: Maximum insulin concentration (INS-Cmax) | (Cohort 2) Assessment of PK parameters: Area under the insulin concentration time curve from 0 to 4 hours post administration (INS-AUC0-4H) | (Part A) Pharmacodynamics (PD): AUC of Glucose Following a Meal | (Part A) Pharmacokinetics (PK): Area Under the Concentration Curve (AUC) of Insulin Lispro | (Part B) PD: AUC of Glucose Following a Meal | (Part B) PK: AUC of Insulin Lispro | (Part B) PK: AUC of Insulin Lispro Glucose Following a Mixed Meal | - Pharmacokinetic parameters | -IAUC (Incremental Area Under the Curve) for PPG (0-2 Hours) Following a Standard Meal Test | AUC | AUC (Area Under the Curve) of Insulin Concentration - Cerebrospinal Fluid | AUC (Area Under the Curve) of Insulin Concentration - Serum | AUC (GIR, recovery, PG 5.5 mmol/L, 0-6h)-Area under the glucose infusion rate-time profile during 6 hours at a PG concentration of 5.5 mmol/L (100 mg/dL) after recovery from hypoglycaemia after 2 & 3 times the individual | AUC (GIR, recovery, PG nadir -PG 5.5 mmol ... (+947 distinct total)"
MAOA,2,5,28,26,0,0,0,2,0,0,Phenelzine; Tranylcypromine,Abraxane AUC | Abraxane Cmax | CC1084037 Pharmacokinetics: AUC0-24 | CC1084037 Pharmacokinetics: Cmax | CC1084037 Pharmacokinetics: Cmin | CC1084037 Pharmacokinetics: Ctrough | CC1084037 Pharmacokinetics: Tmax | CC112273 Pharmacokinetics: AUC0-24 | CC112273 Pharmacokinetics: Cmax | CC112273 Pharmacokinetics: Cmin | CC112273 Pharmacokinetics: Ctrough | CC112273 Pharmacokinetics: Tmax | HIF-1alpha Expression in CTC (Circulating Tumor Cells) as a Potential Measure of MAO Activity | MAOA Expression in CTC (Circulating Tumor Cells) and Comparison to Biopsy MAOA Expression | Nardil AUC | Nardil Cmax | Ozanimod Pharmacokinetics: AUC0-24 | Ozanimod Pharmacokinetics: Cmax | Ozanimod Pharmacokinetics: Cmin | Ozanimod Pharmacokinetics: Ctrough | Ozanimod Pharmacokinetics: Tmax | Pharmacokinetics (PK) effects of TCP in plasma when combined with ATRA | Pharmacokinetics - AUC0-24 | Pharmacokinetics - Cmax | Pharmacokinetics - Cmin | Pharmacokinetics - Ctrough | Pharmacokinetics - Tmax | Pharmacokinetics for tyramine: Cave
MAOB,5,24,103,91,1,2,0,2,7,9,Phenelzine; Rasagiline; Safinamide; Selegiline; Tranylcypromine,"AUC From Time Zero Extrapolated to Infinity (AUC(0-inf)) | AUC Over the Dosing Interval at Steady State (AUC0-τ_ss) | AUC and Cmax of Levodopa | AUC from time 0 to infinity (AUC∞) | AUC from time 0 to the time of the last measurable drug concentration (AUC0-t) | AUC over the dosing interval at steady state (AUCτ) | AUC0-t - Area Under the Plasma Concentration-time Curve From Time 0 to Last Observed Concentration | AUC0-∞ of safinamide in plasma in groups of subjects with different grades of renal function after a single dose of 50 mg safinamide | AUC0-∞ of safinamide metabolite NW-1153 in plasma | AUC0-∞ of safinamide metabolite NW-1689 acylglucuronide in plasma | AUC0-∞ of safinamide metabolite NW-1689 in plasma | Abraxane AUC | Abraxane Cmax | Accumulation Ratio, Based on AUC (Racc,AUC) | Accumulation Ratio, Based on Cmax (Racc,Cmax) | Area Under the Concentration-time Curve From Single-dose Administration to the Last Quantifiable Concentration-time t (AUC0-t) | Area Under the Concentration-time Curve at Steady State From the Last Dose Administration to the Last Observed Concentration Time t (AUC0-t_ss) | Area Under the Concentration-time Curve in the Tau Interval (From Single Dose Administration to 24 h Post Dose) (AUC0-24h) | Area under the concentration-time curve (AUC) from time 0 to dose interval (AUCτ) | Average Safinamide Plasma Concentration at Steady State(Cave_ss) | Average plasma concentration at steady state (Cav,ss) | CC1084037 Pharmacokinetics: AUC0-24 | CC108 ... (+102 distinct total)"
