Target,Biomarker_category,Biomarker_measure,N_trials,N_PDneuro_trials,Drugs
ADH1C,PK,Serial measurement of fomepizole serum concentration,1,0,Fomepizole
BCHE,PK,Bioequivalence based on Cmax and AUC parameters,2,0,Rivastigmine
BCHE,imaging,the mean changes of Standardized Uptake Values (SUVmean) in PET imaging,1,1,Rivastigmine
BCHE,fluid_molecular,"Cerebrospinal fluid(CSF) levels of AD markers (P-tau181, 217)",1,1,Rivastigmine
BCHE,fluid_molecular,"Concentration Changes from Baseline of Plasma Biomarkers (Aβ42/40, p - tau181, p - tau217, NfL and GFAP）",1,1,Rivastigmine
BCHE,PK,"4. Pharmacokinetic parameters (Cmax, Tmax, AUCT, AUCI ) determined from plasma rivastigmine concentrations,Blood cholinesterase inhibition",1,0,Rivastigmine
BCHE,PK,Area Under the Plasma Concentration-Time Curve of RO4602522,1,1,Rivastigmine
BCHE,PK,AUC96-264,1,0,Rivastigmine
BCHE,PK,Changes in cocaine pharmacokinetics,1,0,Tacrine
BCHE,PK,"Cmax,96-264",1,0,Rivastigmine
BCHE,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),1,1,Rivastigmine
BCHE,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),1,1,Rivastigmine
BCHE,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),1,1,Rivastigmine
BCHE,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),1,1,Rivastigmine
BCHE,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),1,1,Rivastigmine
BCHE,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),1,1,Rivastigmine
BCHE,PK,Maximum Plasma Concentration of RO4602522,1,1,Rivastigmine
BCHE,PK,Rivastigmine PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),1,1,Rivastigmine
BCHE,PK,Rivastigmine PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),1,1,Rivastigmine
BCHE,PK,Rivastigmine PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),1,1,Rivastigmine
BCHE,PK,Total Area Under the Curve (AUC) 0-12 Hours,1,0,Rivastigmine
BCHE,other_biomarker,Changes in levels of protein biomarkers in Alzheimer's disease and neurodegeneration from baseline to week 13,1,1,Rivastigmine
DDC,PK,Cmax,3,2,Carbidopa
DDC,PK,Area under the plasma concentration curve (AUC),2,0,Carbidopa
DDC,PK,Area under the plasma concentration versus time curve (AUC0-t),2,0,Carbidopa
DDC,PK,Area under the plasma concentration versus time curve (AUC0-∞),2,0,Carbidopa
DDC,PK,AUC0-t,2,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration of Levodopa,2,2,Carbidopa
DDC,PK,Maximum observed plasma drug concentration (Cmax),2,0,Carbidopa
DDC,PK,Peak Plasma Concentration (Cmax),2,0,Carbidopa
DDC,PK,Pharmacokinetics,2,1,Carbidopa
DDC,PK,Pharmacokinetics (Cmax) of levodopa,2,2,Carbidopa
DDC,imaging,[18F]-FDOPA PET Measure in Striatal Region of Interest,1,1,Carbidopa
DDC,imaging,The difference between the study drugs in change in striatal 11C-raclopride BP.Striatal 11C-raclopride BP will be determined with PET scans performed at baseline and from 2.5 to 3.5 h after the study drug administration.,1,1,Carbidopa
DDC,inflammation,Correlation Coefficient Between Change in Corticostriatal Connectivity and Levels of Plasma C-reactive Protein and Other Immune Markers,1,0,Carbidopa
DDC,PK,3-OMD Area under the plasma concentration versus time curve (AUC),1,1,Carbidopa
DDC,PK,3-OMD Peak Plasma Concentration (Cmax),1,1,Carbidopa
DDC,PK,Area under the concentration time curve over the dosing interval (AUC0-last),1,0,Carbidopa
DDC,PK,Area Under the Curve (AUC) of Change From Baseline in MDS-UPDRS Part III Scores,1,1,Carbidopa
DDC,PK,Area Under the Curve (AUC) of Tapping Speed,1,1,Carbidopa
DDC,PK,Area under the plasma concentration versus time curve (AUC),1,0,Carbidopa
DDC,PK,AUC,1,1,Carbidopa
DDC,PK,AUC of Levodopa Plasma Concentrations Above Baseline,1,1,Carbidopa
DDC,PK,"AUC0-12/Dose0-12, AUC0-16/Dose0-16 After Administration of Oral L/C Tablets and Intra-jejunal Administration of ABT-SLV187",1,1,Carbidopa
DDC,PK,AUC0-2h for Carbidopa,1,1,Carbidopa
DDC,PK,AUC0-2hr for L-dopa,1,1,Carbidopa
DDC,PK,AUC0-5 - AUC Over 5 Hours,1,1,Carbidopa
DDC,PK,AUC0-6 - Area Under the Plasma Concentration-time Curve (AUC) From Time Zero to to 6 h Postdose (AUC [0-6]),1,1,Carbidopa
DDC,PK,AUC0-6 - Area Under the Plasma Concentration-time Curve From Time 0 to 6 Hours Post-dose (Day 3),1,1,Carbidopa
DDC,PK,AUC0-inf,1,0,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration Versus Time Curve From Time Zero to the Time (t) Corresponding to the Last Quantifiable Concentration.,1,1,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification.,1,1,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification. (Levodopa/Benserazide),1,1,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification. (Levodopa/Carbidopa),1,1,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration-time Curve to Last Measurable Time Point,1,1,Carbidopa
DDC,PK,AUC0-∞,1,1,Carbidopa
DDC,PK,AUC0-∞ - Area Under the Concentration-time Curve From Time Zero up to Infinity With Extrapolation of the Terminal Phase,1,1,Carbidopa
DDC,PK,AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to Infinity,1,1,Carbidopa
DDC,PK,AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to Infinity (Levodopa/Benserazide),1,1,Carbidopa
DDC,PK,AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to Infinity (Levodopa/Carbidopa),1,1,Carbidopa
DDC,PK,Carbidopa Area under the plasma concentration versus time curve (AUC),1,1,Carbidopa
DDC,PK,Carbidopa Peak Plasma Concentration (Cmax),1,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration,1,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration Day 3,1,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration of Levodopa (Levodopa/Benserazide ),1,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration of Levodopa (Levodopa/Carbidopa),1,1,Carbidopa
DDC,PK,Cmax - Observed Maximum Concentration,1,1,Carbidopa
DDC,PK,Cmax and AUC(0-tz) of levodopa and carbidopa,1,0,Carbidopa
