Target,Drug,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
ADH1C,Fomepizole,NCT05517668,https://clinicaltrials.gov/study/NCT05517668,Phase 2,Terminated,secondary,PK,Serial measurement of fomepizole serum concentration,Fomepizole serum concentration will be m,Acetaminophen; Acetaminophen Overdose; Acetaminophen Poisoning; Drug Overdose; Drug-induced Liver Injury; Live,No
BCHE,Rivastigmine,NCT00624663,https://clinicaltrials.gov/study/NCT00624663,N/A,Completed,secondary,PK,"4. Pharmacokinetic parameters (Cmax, Tmax, AUCT, AUCI ) determined from plasma rivastigmine concentrations,Blood cholinesterase inhibition",5 weeks,Rivastigmine Toxicity,No
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,Rivastigmine PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,Rivastigmine PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,Rivastigmine PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
BCHE,Rivastigmine,NCT01146041,https://clinicaltrials.gov/study/NCT01146041,Phase 1,Completed,primary,PK,Bioequivalence based on Cmax and AUC parameters,3 months,Healthy,No
BCHE,Rivastigmine,NCT01146067,https://clinicaltrials.gov/study/NCT01146067,Phase 1,Completed,primary,PK,Bioequivalence based on Cmax and AUC parameters,2 months,Healthy,No
BCHE,Rivastigmine,NCT01677754,https://clinicaltrials.gov/study/NCT01677754,Phase 2,Completed,secondary,PK,Area Under the Plasma Concentration-Time Curve of RO4602522,"Day -1, pre-dose (0 hour) on Days 14, 28",Alzheimer's Disease,Yes
BCHE,Rivastigmine,NCT01677754,https://clinicaltrials.gov/study/NCT01677754,Phase 2,Completed,secondary,PK,Maximum Plasma Concentration of RO4602522,"Day -1, pre-dose (0 hour) on Days 14, 28",Alzheimer's Disease,Yes
BCHE,Rivastigmine,NCT03915626,https://clinicaltrials.gov/study/NCT03915626,Early Phase 1,Completed,primary,PK,Total Area Under the Curve (AUC) 0-12 Hours,0-12 hours for each subject for each of,Bioavailability,No
BCHE,Rivastigmine,NCT05883124,https://clinicaltrials.gov/study/NCT05883124,Phase 1,Completed,primary,PK,AUC96-264,From 96 to 264 hours after the first IMP,Bioequivalence,No
BCHE,Rivastigmine,NCT05883124,https://clinicaltrials.gov/study/NCT05883124,Phase 1,Completed,primary,PK,"Cmax,96-264",From 96 to 264 hours after the first IMP,Bioequivalence,No
BCHE,Tacrine,NCT01406522,https://clinicaltrials.gov/study/NCT01406522,Phase 2,Withdrawn,secondary,PK,Changes in cocaine pharmacokinetics,Day 9 of treatment,Cocaine Dependence,No
BCHE,Rivastigmine,NCT02063269,https://clinicaltrials.gov/study/NCT02063269,N/A,Unknown,primary,imaging,the mean changes of Standardized Uptake Values (SUVmean) in PET imaging,screening and 52weeks (2 times),Alzheimer's Disease,Yes
