Toxin,PubMedMentions,CID,HasHumanData,MatchedSections,NumGeneTargets,TopGeneTargets,SampleExcerpt
paraquat,14,15939,True,Toxicity > Toxicological Information > Adverse Effects; Toxicity > Toxicological Information > Human Toxicity Excerpts; Toxicity > Toxicological Information > Non-Human Toxicity Excerpts; Toxicity > Toxicological Information > Populations at Special Risk,25,superoxide dismutase [EC:1.15.1.1] (969); catalase [CAT] (591); tumor necrosis factor [TNF] (238); glutathione peroxidase [EC:1.11.1.9] (191); superoxide dismutase 2 [SOD2] (188); ga binding protein transcription factor subunit alpha [GABPA] (169); interleukin 6 [IL6] (164); peroxidase [EC:1.11.1.7] (159),Occupational hepatotoxin - Secondary hepatotoxins: the potential for toxic effect in the occupational setting is based on cases of poisoning by human ingestion or animal experimentation.
air pollution,12,,False,,0,,
lead,12,5352425,True,Toxicity > Toxicological Information > Exposure Routes; Toxicity > Toxicological Information > Adverse Effects,25,polymerase basic protein 2 [PB2] (2295); catalase [CAT] (576); superoxide dismutase [EC:1.15.1.1] (552); cd2 molecule [CD2] (516); porphobilinogen synthase [EC:4.2.1.24] (489); peroxidase [EC:1.11.1.7] (297); catalase [EC:1.11.1.6] (234); aminolevulinate dehydratase [ALAD] (229),The substance can be absorbed into the body by inhalation and by ingestion.
rotenone,7,6758,True,Toxicity > Toxicological Information > Exposure Routes; Toxicity > Toxicological Information > Adverse Effects; Toxicity > Toxicological Information > Human Toxicity Excerpts; Toxicity > Toxicological Information > Non-Human Toxicity Excerpts,25,synuclein alpha [SNCA] (868); tyrosine hydroxylase [TH] (502); nadh dehydrogenase [EC:1.6.99.3] (463); caspase 3 [CASP3] (432); superoxide dismutase [EC:1.15.1.1] (378); akt serine/threonine kinase 1 [AKT1] (367); catalase [CAT] (360); tumor necrosis factor [TNF] (341),The substance can be absorbed into the body by inhalation and by ingestion.
mptp,6,1388,True,Toxicity > Toxicological Information > Adverse Effects; Toxicity > Toxicological Information > Human Toxicity Excerpts,25,tyrosine hydroxylase [TH] (1850); synuclein alpha [SNCA] (1193); tyrosine 3-monooxygenase [EC:1.14.16.2] (931); monoamine oxidase [EC:1.4.3.4] (481); solute carrier family 6 member 3 [SLC6A3] (461); tumor necrosis factor [TNF] (444); bcl2 apoptosis regulator [BCL2] (418); akt serine/threonine kinase 1 [AKT1] (393),Neurotoxin - Parkinsonism
tce,5,,False,,0,,
trichloroethylene,5,6575,True,Toxicity > Toxicological Information > Exposure Routes; Toxicity > Toxicological Information > Adverse Effects; Toxicity > Toxicological Information > Human Toxicity Excerpts; Toxicity > Toxicological Information > Non-Human Toxicity Excerpts; Toxicity > Toxicological Information > Populations at Special Risk,25,lon protease [LON] (363); unspecific monooxygenase [EC:1.14.14.1] (126); cytochrome p450 family 1 subfamily b member 1 [CYP1B1] (97); cytochrome p450 family 2 subfamily e member 1 [CYP2E1] (81); transcription elongation factor a1 [TCEA1] (72); salt stress-induced protein-like [LOC4326471] (62); tumor necrosis factor [TNF] (62); cd4 molecule [CD4] (52),"The substance can be absorbed into the body by inhalation, by ingestion and through the skin."
particulate matter,5,,False,,0,,
organochlorine,4,,False,,0,,
organophosphate,4,,False,,0,,
pm2.5,4,,False,,0,,
manganese,3,23930,True,Toxicity > Toxicological Information > Exposure Routes; Toxicity > Toxicological Information > Adverse Effects; Toxicity > Toxicological Information > Human Toxicity Excerpts; Toxicity > Toxicological Information > Non-Human Toxicity Excerpts,25,superoxide dismutase [EC:1.15.1.1] (2324); superoxide dismutase 2 [SOD2] (1195); photosystem ii [EC:1.10.3.9] (1148); manganese peroxidase [EC:1.11.1.13] (1144); catalase [CAT] (989); peroxidase [EC:1.11.1.7] (845); laccase [EC:1.10.3.2] (713); lignin peroxidase [EC:1.11.1.14] (562),The substance can be absorbed into the body by inhalation of its aerosol and by ingestion.
mercury,3,23931,True,Toxicity > Toxicological Information > Exposure Routes; Toxicity > Toxicological Information > Adverse Effects; Toxicity > Toxicological Information > Human Toxicity Excerpts; Toxicity > Toxicological Information > Non-Human Toxicity Excerpts,25,cd2 molecule [CD2] (414); catalase [CAT] (363); polymerase basic protein 2 [PB2] (357); superoxide dismutase [EC:1.15.1.1] (327); glutathione peroxidase [EC:1.11.1.9] (270); peroxidase [EC:1.11.1.7] (250); albumin [ALB] (218); mercuric reductase [MERA] (211),The substance can be absorbed into the body by inhalation of its vapour and through the skin also as a vapour.
chlorpyrifos,2,2730,True,Toxicity > Toxicological Information > Exposure Routes; Toxicity > Toxicological Information > Adverse Effects; Toxicity > Toxicological Information > Human Toxicity Excerpts; Toxicity > Toxicological Information > Non-Human Toxicity Excerpts; Toxicity > Toxicological Information > Populations at Special Risk,25,acetylcholinesterase (yt blood group) [ACHE] (1155); acetylcholinesterase [EC:3.1.1.7] (672); butyrylcholinesterase [BCHE] (586); catalase [CAT] (308); hematopoietic prostaglandin d synthase [HPGDS] (271); superoxide dismutase [EC:1.15.1.1] (247); cytochrome p450 family 1 subfamily b member 1 [CYP1B1] (187); cholinesterase [EC:3.1.1.8] (176),"The substance can be absorbed into the body by inhalation, through the skin and by ingestion."
polychlorinated biphenyl,1,,False,,0,,
