Target,Toxins,Drug,Approval_yr,Action,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00348192,https://clinicaltrials.gov/study/NCT00348192,Phase 2,Completed,secondary,PK,"Change in behavioral symptoms, activities of daily living and caregiver burden after 24 weeks Changes in all symptoms at 8 and 12 weeks Safety and tolerability PK (pharmacokinetic) profiling. Efficacy related to ApoE and",,Alzheimer's Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00467389,https://clinicaltrials.gov/study/NCT00467389,Phase 2,Completed,secondary,PK,Cocaine Pharmacokinetics,0 to 8 hours,Cocaine Abuse and Dependence,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00708552,https://clinicaltrials.gov/study/NCT00708552,Phase 2,Completed,secondary,PK,Exposure Estimates for SB-742457 Area Under Curve Over the Dosing Interval at Steady State (AUCτss),"One sample at Day 28±5, 56±5, 84±5, 126±",Alzheimer's Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00710684,https://clinicaltrials.gov/study/NCT00710684,Phase 2,Completed,secondary,PK,Exposure Estimates for SB-742457 : Area Under the Concentration Time Curve Over the Dosing Interval at Steady State (AUCτss),"Post-dose at 3, 8 and 24 hours on Week 0",Alzheimer's Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,secondary,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),24 hours,Alzheimer's Disease; Central Nervous System Diseases,Yes
