Target_gene,UniProt,Protein,Toxins_implicating_target,Drug,Approval_year,Action_type
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Ambenonium,1956,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Benzgalantamine,2024,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Demecarium,1959,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Distigmine,NULL,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Echothiophate,1960,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Edrophonium,1951,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Galantamine,2001,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Hexafluorenium,1982,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Isoflurophate,1957,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Minaprine,NULL,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Neostigmine,2013,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Physostigmine,NULL,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Pralidoxime,1964,ACTIVATOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Propanidid,NULL,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Pyridostigmine,1955,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Rivastigmine,1998,INHIBITOR
ACHE,P22303,Acetylcholinesterase,chlorpyrifos; dieldrin,Tacrine,1993,INHIBITOR
AKT1,P31749,AKT1,mptp; rotenone,Capivasertib,2023,INHIBITOR
ALAD,P13716,ALA dehydratase,lead,(no approved direct-MoA drug)
ALB,P02768,Albumin,mercury,(no approved direct-MoA drug)
BCHE,P06276,Butyrylcholinesterase,chlorpyrifos,Propanidid,NULL,INHIBITOR
BCHE,P06276,Butyrylcholinesterase,chlorpyrifos,Rivastigmine,1998,INHIBITOR
BCHE,P06276,Butyrylcholinesterase,chlorpyrifos,Tacrine,1993,INHIBITOR
